;Unicode val.	Actual Char	Vowel?	Code for Char	Case	Breathing	Accent	Iota	Extras	Full Code
0386	Ά	0	0	0	0	1	0	0	000010000000
0388	Έ	0	1	0	0	1	0	0	000010000100
0389	Ή	0	2	0	0	1	0	0	000010001000
038A	Ί	0	3	0	0	1	0	0	000010001100
038C	Ό	0	4	0	0	1	0	0	000010010000
038E	Ύ	0	5	0	0	1	0	0	000010010100
038F	Ώ	0	6	0	0	1	0	0	000010011000
0390	ΐ	0	3	1	0	1	0	1	010010001110
0391	Α	0	0	0	0	0	0	0	000000000000
0392	Β	1	0	0	0	0	0	0	000000000001
0393	Γ	1	1	0	0	0	0	0	000000000101
0394	Δ	1	2	0	0	0	0	0	000000001001
0395	Ε	0	1	0	0	0	0	0	000000000100
0396	Ζ	1	3	0	0	0	0	0	000000001101
0397	Η	0	2	0	0	0	0	0	000000001000
0398	Θ	1	4	0	0	0	0	0	000000010001
0399	Ι	0	3	0	0	0	0	0	000000001100
039A	Κ	1	5	0	0	0	0	0	000000010101
039B	Λ	1	6	0	0	0	0	0	000000011001
039C	Μ	1	7	0	0	0	0	0	000000011101
039D	Ν	1	8	0	0	0	0	0	000000100001
039E	Ξ	1	9	0	0	0	0	0	000000100101
039F	Ο	0	4	0	0	0	0	0	000000010000
03A0	Π	1	10	0	0	0	0	0	000000101001
03A1	Ρ	0	7	0	0	0	0	0	000000011100
03A3	Σ	1	12	0	0	0	0	0	000000110001
03A4	Τ	1	13	0	0	0	0	0	000000110101
03A5	Υ	0	5	0	0	0	0	0	000000010100
03A6	Φ	1	14	0	0	0	0	0	000000111001
03A7	Χ	1	15	0	0	0	0	0	000000111101
03A8	Ψ	1	16	0	0	0	0	0	000001000001
03A9	Ω	0	6	0	0	0	0	0	000000011000
03AA	Ϊ	0	3	0	0	0	0	1	010000001100
03AB	Ϋ	0	5	0	0	0	0	1	010000010100
03AC	ά	0	0	1	0	1	0	0	000010000010
03AD	έ	0	1	1	0	1	0	0	000010000110
03AE	ή	0	2	1	0	1	0	0	000010001010
03AF	ί	0	3	1	0	1	0	0	000010001110
03B0	ΰ	0	5	1	0	1	0	1	010010010110
03B1	α	0	0	1	0	0	0	0	000000000010
03B2	β	1	0	1	0	0	0	0	000000000011
03B3	γ	1	1	1	0	0	0	0	000000000111
03B4	δ	1	2	1	0	0	0	0	000000001011
03B5	ε	0	1	1	0	0	0	0	000000000110
03B6	ζ	1	3	1	0	0	0	0	000000001111
03B7	η	0	2	1	0	0	0	0	000000001010
03B8	θ	1	4	1	0	0	0	0	000000010011
03B9	ι	0	3	1	0	0	0	0	000000001110
03BA	κ	1	5	1	0	0	0	0	000000010111
03BB	λ	1	6	1	0	0	0	0	000000011011
03BC	μ	1	7	1	0	0	0	0	000000011111
03BD	ν	1	8	1	0	0	0	0	000000100011
03BE	ξ	1	9	1	0	0	0	0	000000100111
